,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.003,0.055,-0.055,0.956,-0.111,0.105
mkt-rf,1.0029,0.009,114.778,0.0,0.986,1.02
FX Factor,0.0003,0.002,0.125,0.901,-0.004,0.005
