,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1705,0.134,-1.277,0.203,-0.433,0.093
mkt-rf,1.0395,0.032,32.724,0.0,0.977,1.102
FX Factor,0.0063,0.005,1.282,0.201,-0.003,0.016
