,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0096,0.045,-0.213,0.831,-0.098,0.079
mkt-rf,1.0011,0.007,139.415,0.0,0.987,1.015
FX Factor,0.0004,0.002,0.224,0.823,-0.003,0.004
