,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0781,0.044,1.771,0.078,-0.009,0.165
mkt-rf,0.9867,0.007,140.022,0.0,0.973,1.001
FX Factor,-0.0031,0.002,-1.786,0.075,-0.007,0.0
