,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1098,0.135,-0.813,0.417,-0.376,0.156
mkt-rf,0.9987,0.012,84.318,0.0,0.975,1.022
FX Factor,0.0039,0.005,0.82,0.413,-0.005,0.013
