,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0435,0.058,-0.746,0.456,-0.158,0.071
mkt-rf,1.0055,0.009,108.004,0.0,0.987,1.024
FX Factor,0.0017,0.002,0.741,0.46,-0.003,0.006
