,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0428,0.08,-0.538,0.591,-0.2,0.114
mkt-rf,0.9914,0.013,76.209,0.0,0.966,1.017
FX Factor,0.0012,0.003,0.452,0.651,-0.004,0.006
