,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1126,0.072,-1.564,0.119,-0.254,0.029
mkt-rf,1.0035,0.012,85.309,0.0,0.98,1.027
FX Factor,0.0037,0.002,1.588,0.114,-0.001,0.008
