,coef,std err,t,P>|t|,[0.025,0.975]
const,0.2795,0.263,1.064,0.288,-0.238,0.797
mkt-rf,0.9612,0.023,41.755,0.0,0.916,1.007
FX Factor,-0.0105,0.009,-1.135,0.257,-0.029,0.008
