,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.02,0.075,-0.265,0.791,-0.169,0.129
mkt-rf,0.9919,0.012,80.395,0.0,0.968,1.016
FX Factor,0.0004,0.002,0.174,0.862,-0.004,0.005
