,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.009,0.054,-0.166,0.868,-0.115,0.097
mkt-rf,1.0021,0.009,116.154,0.0,0.985,1.019
FX Factor,0.0004,0.002,0.179,0.858,-0.004,0.005
