,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0576,0.044,-1.3,0.195,-0.145,0.03
mkt-rf,1.0005,0.007,138.213,0.0,0.986,1.015
FX Factor,0.0019,0.001,1.297,0.196,-0.001,0.005
