,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1788,0.233,0.767,0.444,-0.28,0.638
mkt-rf,1.0113,0.02,49.525,0.0,0.971,1.052
FX Factor,-0.0062,0.008,-0.756,0.45,-0.022,0.01
