,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0094,0.095,-0.099,0.921,-0.196,0.177
mkt-rf,0.9748,0.015,62.954,0.0,0.944,1.005
FX Factor,-0.0003,0.003,-0.097,0.923,-0.006,0.006
