,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1134,0.156,-0.725,0.469,-0.421,0.195
mkt-rf,0.9974,0.037,26.811,0.0,0.924,1.071
FX Factor,0.0039,0.006,0.669,0.504,-0.008,0.015
