,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0989,0.201,0.492,0.623,-0.297,0.495
mkt-rf,0.9761,0.018,55.396,0.0,0.941,1.011
FX Factor,-0.004,0.007,-0.567,0.571,-0.018,0.01
