,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0298,0.145,0.205,0.838,-0.256,0.316
mkt-rf,0.9837,0.013,77.28,0.0,0.959,1.009
FX Factor,-0.0013,0.005,-0.262,0.794,-0.011,0.009
