,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0694,0.077,0.898,0.37,-0.083,0.222
mkt-rf,0.9988,0.013,79.057,0.0,0.974,1.024
FX Factor,-0.0023,0.002,-0.926,0.355,-0.007,0.003
