,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2411,0.264,-0.913,0.362,-0.761,0.279
mkt-rf,0.946,0.023,40.881,0.0,0.9,0.992
FX Factor,0.0078,0.009,0.84,0.402,-0.011,0.026
