,coef,std err,t,P>|t|,[0.025,0.975]
const,0.009,0.096,0.095,0.925,-0.179,0.197
mkt-rf,0.9957,0.015,65.215,0.0,0.966,1.026
FX Factor,-0.0005,0.004,-0.135,0.893,-0.008,0.007
