id,bp,,,
2399,1.11,,,
2401,1.6,,,
2402,0.98,,,
2404,3.6,,,
2405,1.25,,,
2406,1.56,,,
2408,0.95,,,
2409,0.63,,,
2412,2.34,,,
2413,1.89,,,
2414,1.69,,,
2415,1.26,,,
2417,1.07,,,
2419,1.69,,,
2420,1.72,,,
2421,2.44,,,
2423,1.55,,,
2424,3.73,,,
2425,1.32,,,
2426,1.36,,,
2427,0.94,,,
2428,1.81,,,
2429,1.84,,,
2430,1.08,,,
2431,0.81,,,
2433,1.77,,,
2434,2.07,,,
2436,2.76,,,
2438,1.38,,,
2439,1.63,,,
2440,1.27,,,
2441,1.41,,,
2442,0.89,,,
2443,1.36,,,
2444,1.51,,,
2449,1.29,,,
2450,1.31,,,
2451,1.49,,,
2453,1.3,,,
2454,2.76,,,
2455,4.78,,,
2457,2.49,,,
2458,3.01,,,
2459,1.1,,,
2460,1.24,,,
2461,1.04,,,
2462,1.56,,,
2464,1.71,,,
2465,3.66,,,
2466,3.1,,,
2467,2.35,,,
2468,1.95,,,
2471,1.59,,,
2472,1.41,,,
2474,0.74,,,
2476,1.68,,,
2478,1.03,,,
2480,3.01,,,
2481,1.83,,,
2482,1.88,,,
2483,1.07,,,
2484,1.48,,,
2485,0.95,,,
2486,1.29,,,
2488,1.03,,,
2489,0.59,,,
2491,1.39,,,
2492,0.96,,,
2493,1.89,,,
2495,1.39,,,
2496,1.13,,,
2497,5.24,,,
2498,1.83,,,
2501,0.76,,,
2504,1.3,,,
2505,0.77,,,
2506,0.46,,,
2509,0.76,,,
2511,0.69,,,
2514,0.58,,,
2515,0.57,,,
2516,0.74,,,
2520,0.85,,,
2524,0.76,,,
2527,0.64,,,
2528,1.32,,,
2530,1.56,,,
2534,0.88,,,
2535,1.12,,,
2536,0.65,,,
2537,0.53,,,
2538,0.91,,,
2539,2.35,,,
2540,3.37,,,
2542,1.58,,,
2543,0.81,,,
2545,1.15,,,
2546,1.61,,,
2547,0.76,,,
2548,1.27,,,
2597,4.18,,,
2601,0.67,,,
2603,0.62,,,
2605,0.71,,,
2606,1.17,,,
2607,1.04,,,
2608,1.57,,,
2609,0.68,,,
2610,1.54,,,
2611,1.08,,,
2612,0.62,,,
2613,0.98,,,
2614,1.9,,,
2615,0.89,,,
2616,0.93,,,
2617,0.72,,,
2618,1.76,,,
2630,1.44,,,
2633,2.45,,,
2634,2.11,,,
2636,1.16,,,
2637,0.93,,,
2642,2.14,,,
2701,0.69,,,
2702,1.16,,,
2704,0.96,,,
2705,0.66,,,
2706,0.76,,,
2707,8.14,,,
2712,3.02,,,
2722,2.02,,,
2723,2.17,,,
2727,4.06,,,
2731,6.47,,,
2739,4.51,,,
2748,2.85,,,
2753,4.4,,,
2801,1.1,,,
2809,0.98,,,
2812,0.96,,,
2816,0.65,,,
2820,0.93,,,
2832,0.75,,,
2834,1.04,,,
2836,1.01,,,
2838,1.04,,,
2845,0.83,,,
2849,0.88,,,
2850,1.09,,,
2851,0.83,,,
2852,0.65,,,
2855,0.83,,,
2867,0.7,,,
2880,1.72,,,
2881,1.52,,,
2882,2.19,,,
2883,1.47,,,
2884,1.86,,,
2885,1.13,,,
2886,1.48,,,
2887,1.01,,,
2888,0.79,,,
2889,1.09,,,
2890,1.38,,,
2891,1.36,,,
2892,1.57,,,
2897,0.76,,,
2901,2.01,,,
2903,0.92,,,
2904,1.32,,,
2905,1.2,,,
2906,1.29,,,
2908,1.44,,,
2910,2.51,,,
2911,0.82,,,
2912,8.06,,,
2913,1.24,,,
2915,3.89,,,
2923,0.78,,,
2929,0.45,,,
2939,1.85,,,
2945,1.65,,,
3002,0.99,,,
3003,2,,,
3004,1.97,,,
3005,1.37,,,
3006,1.66,,,
3008,2.03,,,
3010,1.27,,,
3011,1.8,,,
3013,1.06,,,
3014,2.29,,,
3015,0.57,,,
3016,4.53,,,
3017,2.78,,,
3019,1.47,,,
3021,1.38,,,
3022,1.48,,,
3023,5.47,,,
3024,1.33,,,
3025,2.08,,,
3026,1.53,,,
3027,2.15,,,
3028,1.14,,,
3029,1.62,,,
3030,2.24,,,
3031,0.96,,,
3032,1.29,,,
3033,1.27,,,
3034,2.97,,,
3035,5.54,,,
3036,1.16,,,
3037,3.02,,,
3038,1.43,,,
3040,1.28,,,
3041,1.3,,,
3042,2.21,,,
3043,2.9,,,
3044,1.26,,,
3045,4.34,,,
3046,5.28,,,
3047,1.42,,,
3048,1.36,,,
3049,0.79,,,
3050,1.04,,,
3051,1.43,,,
3052,0.66,,,
3054,2.06,,,
3055,1.04,,,
3056,1.13,,,
3057,1.06,,,
3058,1.09,,,
3059,1.18,,,
3060,0.81,,,
3062,1.58,,,
3090,1.85,,,
3092,1.74,,,
3094,2.12,,,
3130,4.19,,,
3138,4.69,,,
3149,3.14,,,
3164,1.45,,,
3167,1.5,,,
3189,1.82,,,
3209,1.74,,,
3229,1.91,,,
3231,0.83,,,
3257,2.37,,,
3266,0.79,,,
3296,1.24,,,
3305,1.19,,,
3308,1.46,,,
3311,0.89,,,
3312,1.17,,,
3321,1.77,,,
3338,1.71,,,
3346,1.46,,,
3356,2.3,,,
3376,1.02,,,
3380,1.64,,,
3406,2.38,,,
3413,1.82,,,
3416,2.55,,,
3419,1.61,,,
3432,0.84,,,
3437,1.01,,,
3443,15.48,,,
3450,1.48,,,
3454,5.61,,,
3481,0.45,,,
3494,2.03,,,
3501,0.9,,,
3504,3.13,,,
3515,1.92,,,
3518,1.34,,,
3528,1.79,,,
3530,2.33,,,
3532,2.64,,,
3533,4.47,,,
3535,1.73,,,
3536,11.26,,,
3543,0.62,,,
3545,1.66,,,
3550,0.59,,,
3557,1.6,,,
3563,2.22,,,
3576,2.14,,,
3583,1.77,,,
3588,2.19,,,
3591,0.82,,,
3592,1.9,,,
3593,2.34,,,
3596,1.74,,,
3605,0.79,,,
3607,0.73,,,
3617,1.9,,,
3622,0.76,,,
3645,1.47,,,
3652,0.98,,,
3653,6.62,,,
3661,5.14,,,
3665,1.94,,,
3669,1.52,,,
3673,0.34,,,
3679,1.28,,,
3682,1.07,,,
3686,1.35,,,
3694,1.29,,,
3701,3.04,,,
3702,1.09,,,
3703,0.94,,,
3704,1.37,,,
3705,1.57,,,
3706,0.63,,,
3708,1.53,,,
3711,1.5,,,
3712,0.88,,,
3714,0.65,,,
3715,0.82,,,
4104,1.19,,,
4106,1.21,,,
4108,1.96,,,
4119,2.56,,,
4133,1.86,,,
4137,2.94,,,
4142,2.59,,,
4148,1.71,,,
4155,1.39,,,
4164,1.22,,,
4190,2.09,,,
4306,0.86,,,
4426,1.56,,,
4438,1.59,,,
4439,1.26,,,
4440,1.6,,,
4526,0.73,,,
4532,0.87,,,
4536,2.2,,,
4540,1.05,,,
4545,1.16,,,
4551,2.34,,,
4552,0.59,,,
4555,1.19,,,
4557,2.25,,,
4560,1.44,,,
4562,1.24,,,
4564,1.1,,,
4566,1.39,,,
4571,1.55,,,
4572,2.59,,,
4576,2.38,,,
4581,1.2,,,
4583,1.58,,,
4720,1.15,,,
4722,1.17,,,
4737,2.34,,,
