1,2330,27.55%
2,2317,3.02%
3,2454,2.54%
4,2412,1.91%
5,6505,1.75%
6,2308,1.70%
7,2881,1.63%
8,1303,1.32%
9,1301,1.25%
10,2882,1.24%
11,2303,1.24%
12,2002,0.99%
13,2891,0.97%
14,2886,0.97%
15,1326,0.97%
16,3711,0.92%
17,1216,0.81%
18,5880,0.81%
19,2207,0.77%
20,2884,0.77%
21,2892,0.75%
22,2603,0.75%
23,3045,0.73%
24,5871,0.69%
25,2880,0.67%
26,3008,0.66%
27,2912,0.61%
28,2885,0.61%
29,2382,0.60%
30,2395,0.56%
31,5876,0.54%
32,1101,0.53%
33,2609,0.50%
34,3037,0.50%
35,2883,0.49%
36,4904,0.48%
37,2615,0.46%
38,2890,0.45%
39,2357,0.43%
40,2327,0.42%
41,1590,0.41%
42,2801,0.40%
43,3034,0.39%
44,2887,0.39%
45,2408,0.38%
46,1605,0.38%
47,8046,0.38%
48,1402,0.38%
49,6415,0.37%
50,4938,0.36%
51,9910,0.36%
52,2379,0.35%
53,2301,0.33%
54,6669,0.33%
55,2345,0.33%
56,6409,0.33%
57,2618,0.32%
58,1102,0.32%
59,9945,0.32%
60,2888,0.30%
61,6770,0.29%
62,8454,0.28%
63,2474,0.28%
64,1476,0.27%
65,2409,0.27%
66,3481,0.26%
67,2105,0.25%
68,4958,0.25%
69,2610,0.24%
70,2834,0.23%
71,2377,0.23%
72,3443,0.21%
73,2347,0.21%
74,2324,0.21%
75,9904,0.21%
76,3533,0.20%
77,9921,0.20%
78,2356,0.19%
79,8464,0.18%
80,2360,0.18%
81,2344,0.18%
82,2027,0.18%
83,3702,0.18%
84,3231,0.17%
85,9941,0.17%
86,2542,0.17%
87,2371,0.17%
88,2633,0.17%
89,1229,0.16%
90,6789,0.16%
91,2353,0.16%
92,2354,0.16%
93,2915,0.16%
94,6781,0.15%
95,2376,0.15%
96,1802,0.15%
97,3661,0.14%
98,2049,0.14%
99,2812,0.14%
100,2201,0.14%
101,2337,0.14%
102,3023,0.14%
103,6239,0.14%
104,2383,0.14%
105,2227,0.14%
106,2385,0.14%
107,3532,0.13%
108,1504,0.13%
109,1795,0.13%
110,2838,0.13%
111,2313,0.13%
112,1477,0.12%
113,3036,0.12%
114,3189,0.12%
115,9914,0.12%
116,2352,0.12%
117,1722,0.12%
118,6592,0.11%
119,5269,0.11%
120,3044,0.11%
121,3653,0.11%
122,4919,0.11%
123,6176,0.11%
124,2368,0.10%
125,2498,0.10%
126,6550,0.10%
127,2637,0.10%
128,9917,0.10%
129,1907,0.10%
130,1434,0.10%
131,2845,0.10%
132,3406,0.10%
133,2449,0.09%
134,5522,0.09%
135,2492,0.09%
136,3035,0.09%
137,2923,0.09%
138,3017,0.09%
139,1210,0.09%
140,2889,0.09%
141,1314,0.09%
142,2059,0.09%
143,2606,0.09%
144,1717,0.09%
145,3665,0.09%
146,2006,0.08%
147,2015,0.08%
148,2809,0.08%
149,1227,0.08%
150,2388,0.08%
151,3706,0.08%
152,3576,0.08%
153,6271,0.08%
154,6269,0.07%
155,6285,0.07%
156,2014,0.07%
157,2404,0.07%
158,6116,0.07%
159,3714,0.07%
160,2204,0.07%
161,6531,0.07%
162,9933,0.07%
163,2634,0.07%
164,1503,0.07%
165,5434,0.07%
166,2607,0.07%
167,2707,0.07%
168,1904,0.07%
169,2023,0.07%
170,6456,0.07%
171,2504,0.06%
172,1773,0.06%
173,2101,0.06%
174,1440,0.06%
175,6213,0.06%
176,1808,0.06%
177,2451,0.06%
178,2206,0.06%
179,1409,0.06%
180,9802,0.06%
181,8478,0.06%
182,6412,0.06%
183,2106,0.06%
184,6670,0.06%
185,1319,0.06%
186,1513,0.06%
187,6278,0.06%
188,9907,0.06%
189,2441,0.06%
190,2903,0.06%
191,2458,0.06%
192,6533,0.06%
193,1304,0.06%
194,4915,0.06%
195,3042,0.06%
196,1723,0.06%
197,3005,0.06%
198,4770,0.06%
199,6005,0.06%
200,1232,0.05%
201,2867,0.05%
202,2548,0.05%
203,3703,0.05%
204,8150,0.05%
205,2481,0.05%
206,2855,0.05%
207,6491,0.05%
208,3592,0.05%
209,1218,0.05%
210,2897,0.05%
211,1736,0.05%
212,4961,0.05%
213,6196,0.05%
