,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0746,0.396,-0.188,0.851,-0.854,0.705
mkt-rf,1.0103,0.035,29.132,0.0,0.942,1.079
FX Factor,0.0029,0.014,0.208,0.836,-0.025,0.03
