,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1773,0.092,1.927,0.055,-0.004,0.359
mkt-rf,0.986,0.015,65.575,0.0,0.956,1.016
FX Factor,-0.0061,0.003,-2.047,0.042,-0.012,-0.0
