,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.039,0.112,-0.349,0.727,-0.259,0.181
mkt-rf,1.0207,0.027,38.482,0.0,0.968,1.073
FX Factor,0.0016,0.004,0.389,0.698,-0.007,0.01
