,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1051,0.131,-0.801,0.424,-0.363,0.153
mkt-rf,1.0248,0.031,32.855,0.0,0.963,1.086
FX Factor,0.0039,0.005,0.814,0.416,-0.006,0.013
