,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0201,0.066,-0.302,0.763,-0.151,0.111
mkt-rf,1.0033,0.011,92.352,0.0,0.982,1.025
FX Factor,0.0007,0.002,0.322,0.748,-0.004,0.005
