,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.084,0.118,-0.709,0.479,-0.317,0.149
mkt-rf,1.0168,0.028,36.086,0.0,0.961,1.072
FX Factor,0.003,0.004,0.697,0.486,-0.006,0.012
