,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0911,0.109,-0.838,0.403,-0.305,0.123
mkt-rf,0.9851,0.018,55.449,0.0,0.95,1.02
FX Factor,0.0026,0.004,0.727,0.468,-0.004,0.009
