,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0839,0.117,-0.719,0.473,-0.314,0.146
mkt-rf,1.0123,0.019,54.318,0.0,0.976,1.049
FX Factor,0.0033,0.005,0.716,0.474,-0.006,0.012
