,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1308,0.138,-0.95,0.343,-0.402,0.14
mkt-rf,1.0462,0.033,31.942,0.0,0.982,1.111
FX Factor,0.0051,0.005,0.999,0.319,-0.005,0.015
