,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.089,0.068,-1.314,0.19,-0.222,0.044
mkt-rf,1.0114,0.011,93.418,0.0,0.99,1.033
FX Factor,0.0035,0.003,1.289,0.198,-0.002,0.009
