,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2887,0.138,-2.092,0.037,-0.56,-0.017
mkt-rf,0.9893,0.012,81.813,0.0,0.965,1.013
FX Factor,0.0102,0.005,2.09,0.038,0.001,0.02
