,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2411,0.206,-1.171,0.243,-0.647,0.164
mkt-rf,1.0662,0.049,21.773,0.0,0.97,1.163
FX Factor,0.0093,0.008,1.226,0.221,-0.006,0.024
