,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0286,0.069,0.412,0.68,-0.108,0.165
mkt-rf,0.9824,0.017,59.508,0.0,0.95,1.015
FX Factor,-0.0012,0.003,-0.481,0.631,-0.006,0.004
