,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0537,0.059,0.918,0.36,-0.062,0.169
mkt-rf,0.9921,0.009,106.094,0.0,0.974,1.01
FX Factor,-0.0021,0.002,-0.905,0.367,-0.007,0.002
