,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0882,0.059,-1.496,0.136,-0.204,0.028
mkt-rf,1.0005,0.01,103.802,0.0,0.982,1.02
FX Factor,0.0028,0.002,1.495,0.136,-0.001,0.007
