,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2716,0.156,-1.743,0.083,-0.579,0.035
mkt-rf,0.9905,0.014,72.542,0.0,0.964,1.017
FX Factor,0.0095,0.006,1.734,0.084,-0.001,0.02
