,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0533,0.055,0.961,0.338,-0.056,0.162
mkt-rf,0.9798,0.013,74.281,0.0,0.954,1.006
FX Factor,-0.0021,0.002,-1.045,0.297,-0.006,0.002
