,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0338,0.103,-0.329,0.742,-0.236,0.169
mkt-rf,0.9944,0.009,110.403,0.0,0.977,1.012
FX Factor,0.0011,0.004,0.294,0.769,-0.006,0.008
