,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0854,0.088,-0.967,0.334,-0.259,0.089
mkt-rf,0.999,0.014,69.251,0.0,0.971,1.027
FX Factor,0.0027,0.003,0.955,0.34,-0.003,0.008
