,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1231,0.071,1.735,0.084,-0.017,0.263
mkt-rf,0.9651,0.017,57.15,0.0,0.932,0.998
FX Factor,-0.0047,0.003,-1.787,0.075,-0.01,0.0
