,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.099,0.074,-1.346,0.18,-0.244,0.046
mkt-rf,1.0194,0.012,86.719,0.0,0.996,1.043
FX Factor,0.0041,0.003,1.411,0.16,-0.002,0.01
