,coef,std err,t,P>|t|,[0.025,0.975]
const,0.115,0.184,0.625,0.533,-0.248,0.478
mkt-rf,0.9649,0.03,32.063,0.0,0.906,1.024
FX Factor,-0.0046,0.006,-0.77,0.442,-0.016,0.007
