,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.3581,0.231,-1.549,0.123,-0.813,0.097
mkt-rf,0.9739,0.02,48.075,0.0,0.934,1.014
FX Factor,0.0124,0.008,1.524,0.129,-0.004,0.029
