,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1615,0.302,-0.535,0.593,-0.756,0.433
mkt-rf,0.9913,0.026,37.506,0.0,0.939,1.043
FX Factor,0.0056,0.011,0.524,0.601,-0.015,0.027
