,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0212,0.052,0.409,0.683,-0.081,0.123
mkt-rf,0.997,0.008,120.677,0.0,0.981,1.013
FX Factor,-0.0008,0.002,-0.41,0.682,-0.005,0.003
