,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1333,0.124,-1.074,0.284,-0.378,0.111
mkt-rf,1.0464,0.03,35.455,0.0,0.988,1.105
FX Factor,0.0052,0.005,1.131,0.259,-0.004,0.014
