,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1252,0.228,-0.55,0.583,-0.574,0.323
mkt-rf,0.9936,0.02,49.799,0.0,0.954,1.033
FX Factor,0.0044,0.008,0.549,0.583,-0.011,0.02
