,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2046,0.358,-0.571,0.568,-0.91,0.501
mkt-rf,1.0122,0.031,32.242,0.0,0.95,1.074
FX Factor,0.0076,0.013,0.601,0.548,-0.017,0.033
