,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0988,0.084,-1.183,0.238,-0.263,0.066
mkt-rf,1.0021,0.02,50.426,0.0,0.963,1.041
FX Factor,0.0034,0.003,1.1,0.273,-0.003,0.009
