,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0705,0.102,-0.689,0.492,-0.272,0.131
mkt-rf,0.9915,0.009,110.499,0.0,0.974,1.009
FX Factor,0.0024,0.004,0.659,0.51,-0.005,0.01
