,coef,std err,t,P>|t|,[0.025,0.975]
const,0.2885,0.33,0.874,0.383,-0.362,0.939
mkt-rf,1.0048,0.029,34.73,0.0,0.948,1.062
FX Factor,-0.0102,0.012,-0.876,0.382,-0.033,0.013
