,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0813,0.091,-0.896,0.371,-0.26,0.097
mkt-rf,1.0103,0.015,69.667,0.0,0.982,1.039
FX Factor,0.0031,0.004,0.866,0.388,-0.004,0.01
