,coef,std err,t,P>|t|,[0.025,0.975]
const,0.035,0.112,0.314,0.754,-0.185,0.255
mkt-rf,1.0026,0.027,37.707,0.0,0.95,1.055
FX Factor,-0.0012,0.004,-0.286,0.775,-0.009,0.007
