,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0716,0.038,-1.873,0.062,-0.147,0.004
mkt-rf,0.9939,0.006,159.033,0.0,0.982,1.006
FX Factor,0.0022,0.001,1.769,0.078,-0.0,0.005
