,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0585,0.058,-1.009,0.314,-0.173,0.056
mkt-rf,1.0104,0.009,109.173,0.0,0.992,1.029
FX Factor,0.0024,0.002,1.054,0.293,-0.002,0.007
