,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0528,0.156,0.338,0.736,-0.255,0.361
mkt-rf,0.9679,0.037,26.01,0.0,0.895,1.041
FX Factor,-0.0022,0.006,-0.386,0.7,-0.014,0.009
