,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0542,0.109,-0.496,0.62,-0.269,0.161
mkt-rf,1.0032,0.026,38.592,0.0,0.952,1.054
FX Factor,0.0019,0.004,0.465,0.642,-0.006,0.01
