,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0765,0.084,-0.913,0.362,-0.242,0.089
mkt-rf,1.0036,0.013,74.902,0.0,0.977,1.03
FX Factor,0.0027,0.003,0.827,0.409,-0.004,0.009
