,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0102,0.074,-0.139,0.89,-0.156,0.135
mkt-rf,1.0002,0.012,84.687,0.0,0.977,1.023
FX Factor,0.0004,0.003,0.131,0.896,-0.005,0.006
