,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1059,0.191,-0.555,0.58,-0.482,0.27
mkt-rf,0.9773,0.017,58.379,0.0,0.944,1.01
FX Factor,0.0035,0.007,0.516,0.606,-0.01,0.017
