,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0203,0.061,0.333,0.739,-0.1,0.14
mkt-rf,0.9907,0.015,68.284,0.0,0.962,1.019
FX Factor,-0.0009,0.002,-0.391,0.696,-0.005,0.004
