,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0215,0.09,-0.239,0.811,-0.198,0.155
mkt-rf,0.9951,0.014,69.324,0.0,0.967,1.023
FX Factor,0.0005,0.004,0.131,0.896,-0.007,0.007
